Frequency	Log magnitude spectrum
13490.551758	-110.452019
13512.084961	-115.242073
13533.618164	-115.895103
13555.151367	-111.601387
13576.684570	-114.771194
13598.217773	-103.819931
13619.750977	-106.641281
13641.284180	-107.645447
13662.817383	-114.053986
13684.350586	-108.607475
13705.883789	-125.180779
13727.416992	-106.859695
13748.950195	-104.162659
13770.483398	-105.152939
13792.016602	-126.699028
13813.549805	-113.737099
13835.083008	-111.230331
13856.616211	-106.157181
13878.149414	-128.436890
13899.682617	-116.801682
13921.215820	-113.114243
13942.749023	-110.136948
13964.282227	-112.635719
13985.815430	-105.713852
14007.348633	-104.165054
14028.881836	-106.622986
14050.415039	-103.082443
14071.948242	-99.849564
14093.481445	-99.227592
14115.014648	-107.897041
14136.547852	-107.034279
14158.081055	-108.708679
14179.614258	-103.922226
14201.147461	-103.652740
14222.680664	-104.220963
14244.213867	-105.701660
14265.747070	-106.877968
14287.280273	-100.054893
14308.813477	-101.096916
14330.346680	-102.790886
14351.879883	-109.369431
14373.413086	-106.974579
14394.946289	-109.217529
14416.479492	-105.115967
14438.012695	-98.151924
14459.545898	-99.079231
14481.079102	-107.114441
14502.612305	-108.813469
14524.145508	-102.178642
14545.678711	-100.628654
14567.211914	-103.561256
14588.745117	-102.427391
14610.278320	-102.525795
14631.811523	-105.621826
14653.344727	-106.209877
14674.877930	-106.297623
14696.411133	-100.033813
14717.944336	-107.822311
14739.477539	-108.854462
14761.010742	-106.208084
14782.543945	-104.968887
14804.077148	-101.624763
14825.610352	-110.718315
14847.143555	-105.431999
14868.676758	-99.247459
14890.209961	-101.924377
14911.743164	-104.544525
14933.276367	-103.008446
14954.809570	-103.886620
14976.342773	-104.314041
14997.875977	-99.077850
15019.409180	-97.614639
15040.942383	-107.747513
15062.475586	-101.605095
15084.008789	-127.567574
15105.541992	-104.425735
15127.075195	-106.384468
15148.608398	-104.060814
15170.141602	-97.432083
15191.674805	-99.780983
15213.208008	-101.116516
15234.741211	-96.882805
15256.274414	-99.482155
15277.807617	-102.024384
15299.340820	-99.726166
15320.874023	-102.214111
15342.407227	-105.602135
15363.940430	-114.733612
15385.473633	-95.627769
15407.006836	-96.224312
15428.540039	-104.627739
15450.073242	-108.949127
15471.606445	-97.583076
15493.139648	-96.225838
15514.672852	-101.148575
15536.206055	-112.197945
15557.739258	-103.752907
15579.272461	-102.399300
15600.805664	-104.816154
15622.338867	-96.125046
15643.872070	-97.644112
15665.405273	-101.198090
15686.938477	-108.042419
15708.471680	-99.856216
15730.004883	-96.565643
15751.538086	-96.967735
15773.071289	-102.133530
15794.604492	-94.253853
15816.137695	-94.988792
15837.670898	-103.685539
15859.204102	-104.707512
15880.737305	-121.724236
15902.270508	-101.743713
15923.803711	-99.626526
15945.336914	-101.546677
15966.870117	-105.269630
15988.403320	-101.656952
16009.936523	-98.763809
16031.469727	-95.562469
16053.002930	-96.621445
16074.536133	-95.618484
16096.069336	-96.909607
16117.602539	-94.065979
16139.135742	-93.114769
16160.668945	-93.065964
16182.202148	-97.203926
16203.735352	-101.688622
16225.268555	-98.446846
16246.801758	-93.601349
16268.334961	-93.178032
16289.868164	-93.520531
16311.401367	-97.422073
16332.934570	-95.223724
16354.467773	-95.722855
16376.000977	-99.109093
16397.534180	-101.954811
16419.067383	-99.684334
16440.600586	-94.725571
16462.133789	-95.165436
16483.666992	-98.366653
16505.200195	-99.609413
16526.733398	-97.109100
16548.266602	-94.373596
16569.799805	-95.239647
16591.333008	-93.515457
16612.866211	-99.974640
16634.399414	-94.562256
16655.932617	-88.259514
16677.465820	-87.221008
16698.999023	-89.821342
16720.532227	-96.163658
16742.065430	-100.077858
16763.598633	-99.490227
16785.131836	-93.018784
16806.665039	-98.900803
16828.198242	-105.047318
16849.731445	-99.172249
16871.264648	-100.189880
16892.797852	-102.096046
16914.331055	-105.374748
16935.864258	-107.401199
16957.397461	-108.434708
16978.930664	-100.305603
17000.463867	-102.053612
17021.997070	-106.049316
17043.530273	-96.367142
17065.063477	-96.062401
17086.596680	-96.249344
17108.129883	-99.857887
17129.663086	-109.287437
17151.196289	-95.938560
17172.729492	-95.031830
17194.262695	-98.120979
17215.795898	-97.511551
17237.329102	-97.544579
17258.862305	-93.998215
17280.395508	-90.387581
17301.928711	-93.284271
17323.461914	-98.030792
17344.995117	-92.732193
17366.528320	-91.724197
17388.061523	-91.923622
17409.594727	-96.201416
17431.127930	-95.243240
17452.661133	-93.353462
17474.194336	-92.159607
17495.727539	-93.378136
17517.260742	-102.174438
17538.793945	-98.940735
17560.327148	-96.075699
17581.860352	-91.542091
17603.393555	-90.332924
17624.926758	-89.230202
17646.459961	-91.405876
17667.993164	-99.323303
17689.526367	-109.456383
17711.059570	-101.597198
17732.592773	-90.752586
17754.125977	-97.536621
17775.659180	-89.800835
17797.192383	-92.441444
17818.725586	-104.290024
17840.258789	-93.937027
17861.791992	-91.933197
17883.325195	-92.395912
17904.858398	-87.858261
17926.391602	-90.994720
17947.924805	-93.343048
17969.458008	-97.956123
17990.991211	-96.218239
18012.524414	-93.004150
18034.057617	-101.378273
18055.590820	-101.420334
18077.124023	-95.771385
18098.657227	-98.506035
18120.190430	-92.725006
18141.723633	-92.883049
18163.256836	-97.286186
18184.790039	-99.218407
18206.323242	-90.876846
18227.856445	-86.582443
18249.389648	-90.035812
18270.922852	-100.375450
18292.456055	-97.049622
18313.989258	-93.338013
18335.522461	-103.378998
18357.055664	-96.819031
18378.588867	-93.718163
18400.122070	-102.105453
18421.655273	-93.213066
18443.188477	-87.326141
18464.721680	-88.438164
18486.254883	-102.673378
18507.788086	-95.394409
18529.321289	-89.821136
18550.854492	-87.779938
18572.387695	-89.417946
18593.920898	-100.579384
18615.454102	-91.419167
18636.987305	-88.911072
18658.520508	-87.919998
18680.053711	-92.691841
18701.586914	-95.769722
18723.120117	-92.183678
18744.653320	-85.797173
18766.186523	-85.812332
18787.719727	-93.209457
18809.252930	-91.546967
18830.786133	-88.988754
18852.319336	-87.148125
18873.852539	-89.958458
18895.385742	-89.983711
18916.918945	-93.062508
18938.452148	-89.563393
18959.985352	-92.758270
18981.518555	-92.728752
19003.051758	-96.130753
19024.584961	-95.694748
19046.118164	-91.626083
19067.651367	-92.843185
19089.184570	-88.849312
19110.717773	-96.984581
19132.250977	-95.411354
19153.784180	-92.583183
19175.317383	-99.620811
19196.850586	-99.795410
19218.383789	-99.293007
19239.916992	-89.516098
19261.450195	-89.775116
19282.983398	-89.404228
19304.516602	-98.800430
19326.049805	-87.099205
19347.583008	-100.200272
19369.116211	-89.218819
19390.649414	-87.898338
19412.182617	-88.021217
19433.715820	-92.875107
19455.249023	-87.697998
19476.782227	-88.587097
19498.315430	-93.750237
19519.848633	-90.884041
19541.381836	-84.886520
19562.915039	-87.365456
19584.448242	-90.684105
19605.981445	-91.716072
19627.514648	-111.348534
19649.047852	-102.856766
19670.581055	-90.076721
19692.114258	-101.537506
19713.647461	-88.108513
19735.180664	-92.564232
19756.713867	-94.001953
19778.247070	-95.606827
19799.780273	-87.930649
19821.313477	-94.612366
19842.846680	-92.543800
19864.379883	-90.007217
19885.913086	-95.070595
19907.446289	-94.837715
19928.979492	-94.568954
19950.512695	-103.137108
19972.045898	-92.862457
19993.579102	-90.545715
20015.112305	-92.580727
20036.645508	-87.768150
20058.178711	-85.951462
20079.711914	-86.817459
20101.245117	-87.010742
20122.778320	-88.568985
20144.311523	-88.624367
20165.844727	-86.230003
20187.377930	-88.914063
20208.911133	-86.954094
20230.444336	-95.450943
20251.977539	-93.291466
20273.510742	-92.817390
20295.043945	-86.044548
20316.577148	-86.830215
20338.110352	-89.393242
20359.643555	-86.138779
20381.176758	-86.573807
20402.709961	-89.954597
20424.243164	-87.406319
20445.776367	-88.416000
20467.309570	-86.300957
20488.842773	-90.691612
20510.375977	-85.431068
20531.909180	-92.804314
20553.442383	-98.454712
20574.975586	-94.985069
20596.508789	-100.160034
20618.041992	-88.756393
20639.575195	-90.337463
20661.108398	-91.898941
20682.641602	-92.624680
20704.174805	-84.489372
20725.708008	-88.106415
20747.241211	-90.718224
20768.774414	-97.237022
20790.307617	-93.448166
20811.840820	-101.548141
20833.374023	-91.055229
20854.907227	-96.481895
20876.440430	-91.701996
20897.973633	-83.522972
20919.506836	-88.516975
20941.040039	-91.234558
20962.573242	-86.164421
20984.106445	-91.057793
21005.639648	-104.177452
21027.172852	-92.616753
21048.706055	-95.030136
21070.239258	-92.806557
21091.772461	-88.858414
21113.305664	-92.549095
21134.838867	-88.623138
21156.372070	-92.016350
21177.905273	-100.631332
21199.438477	-93.341286
21220.971680	-90.195259
21242.504883	-89.789017
21264.038086	-88.928619
21285.571289	-89.690369
21307.104492	-100.578781
21328.637695	-92.526146
21350.170898	-90.560852
21371.704102	-94.422546
21393.237305	-91.591995
21414.770508	-93.760818
21436.303711	-88.201515
21457.836914	-92.959373
21479.370117	-97.083481
21500.903320	-92.480408
21522.436523	-100.084984
21543.969727	-98.573830
21565.502930	-98.492149
21587.036133	-91.365486
21608.569336	-102.407318
21630.102539	-94.849632
21651.635742	-99.726707
21673.168945	-92.129303
21694.702148	-100.477654
21716.235352	-96.803291
21737.768555	-95.843521
21759.301758	-88.885414
21780.834961	-95.963287
21802.368164	-94.925705
21823.901367	-88.978958
21845.434570	-86.616409
21866.967773	-87.792175
21888.500977	-96.825951
21910.034180	-97.271095
21931.567383	-94.065804
21953.100586	-94.720421
21974.633789	-95.116318
21996.166992	-90.444824
22017.700195	-88.713974
22039.233398	-89.905960
